region,latitude_dms,longitude_dms,latitude_dd,longitude_dd,population_region
Мурманская область,67.08.57,032.16.13,67.1491666666667,32.2702777777778,746675
Пензенская область,53.37.10,044.36.15,53.6194444444444,44.6041666666667,1318103
Ханты-Мансийский автономный округ - Югра,61.03.24,068.37.38,61.0566666666667,68.6272222222222,1674530
Севастополь,44.26.33,033.44.02,44.4425,33.7338888888889,463265
Приморский край,43.19.37,131.52.01,43.3269444444444,131.866944444444,1822699
Еврейская автономная область,48.35.40,130.36.10,48.5944444444444,130.602777777778,168203
Республика Адыгея,44.50.41,039.28.03,44.8447222222222,39.4675,643511
Чукотский автономный округ,64.54.35,-172.29.51,64.9097222222222,-16.9965277777778,49790
Чеченская республика,42.44.19,046.05.07,42.7386111111111,46.0852777777778,1456949
Магаданская область,59.43.28,149.19.41,59.7244444444444,149.328055555556,141234
Ненецкий автономный округ,66.38.26,045.53.36,66.6405555555556,45.8933333333333,43997
Ямало-Ненецкий автономный округ,64.16.14,071.05.46,64.2705555555556,71.0961111111111,545045
Санкт-Петербург,59.56.21,030.18.57,59.9391666666667,30.3158333333333,5225690
Москва,55.45.14,037.37.13,55.7538888888889,37.6202777777778,12380664
Байконур,45.37.00,063.19.00,45.6166666666667,63.3166666666667,0
